DATE,ITACPIALLMINMEI
1960-01-01,3.85368102953485
1960-02-01,3.84699641369871
1960-03-01,3.84031179786257
1960-04-01,3.8369694899445
1960-05-01,3.84365410578064
1960-06-01,3.84365410578064
1960-07-01,3.86036564537099
1960-08-01,3.86705026120713
1960-09-01,3.86370795328906
1960-10-01,3.86370795328906
1960-11-01,3.88041949287941
1960-12-01,3.88710410871555
1961-01-01,3.9038156483059
1961-02-01,3.9038156483059
1961-03-01,3.90715795622397
1961-04-01,3.91384257206011
1961-05-01,3.92386949581432
1961-06-01,3.92386949581432
1961-07-01,3.93389641956853
1961-08-01,3.94058103540467
1961-09-01,3.94726565124081
1961-10-01,3.95729257499502
1961-11-01,3.98403103833958
1961-12-01,3.99740027001186
1962-01-01,4.01411180960222
1962-02-01,4.03750796502871
1962-03-01,4.0609041204552
1962-04-01,4.0943271996359
1962-05-01,4.0943271996359
1962-06-01,4.10769643130818
1962-07-01,4.13443489465274
1962-08-01,4.13777720257081
1962-09-01,4.15114643424309
1962-10-01,4.16785797383344
1962-11-01,4.194596437178
1962-12-01,4.25810028762134
1963-01-01,4.30489259847432
1963-02-01,4.36505414099958
1963-03-01,4.37842337267186
1963-04-01,4.40516183601642
1963-05-01,4.40516183601642
1963-06-01,4.41184645185256
1963-07-01,4.40850414393449
1963-08-01,4.42521568352484
1963-09-01,4.45529645478747
1963-10-01,4.50543107355852
1963-11-01,4.52214261314887
1963-12-01,4.55222338441151
1964-01-01,4.58564646359221
1964-02-01,4.59233107942835
1964-03-01,4.60570031110063
1964-04-01,4.61238492693677
1964-05-01,4.65249262195361
1964-06-01,4.68257339321624
1964-07-01,4.7093118565608
1964-08-01,4.72268108823308
1964-09-01,4.7427349357415
1964-10-01,4.76278878324992
1964-11-01,4.79621186243062
1964-12-01,4.81626570993904
1965-01-01,4.83966186536554
1965-02-01,4.84968878911975
1965-03-01,4.85971571287396
1965-04-01,4.8664003287101
1965-05-01,4.87642725246431
1965-06-01,4.88979648413659
1965-07-01,4.91653494748115
1965-08-01,4.92321956331729
1965-09-01,4.93658879498957
1965-10-01,4.93658879498957
1965-11-01,4.95330033457992
1965-12-01,4.97669649000641
1966-01-01,4.99006572167869
1966-02-01,4.99006572167869
1966-03-01,4.98672341376062
1966-04-01,5.0000926454329
1966-05-01,5.00677726126904
1966-06-01,5.00677726126904
1966-07-01,5.01011956918711
1966-08-01,5.01680418502325
1966-09-01,5.02014649294132
1966-10-01,5.02683110877746
1966-11-01,5.05691188004009
1966-12-01,5.09367726713886
1967-01-01,5.14250977845017
1967-02-01,5.15756102658222
1967-03-01,5.16759519200359
1967-04-01,5.17261227471427
1967-05-01,5.18766352284632
1967-06-01,5.20271477097837
1967-07-01,5.21274893639973
1967-08-01,5.2227831018211
1967-09-01,5.24786851537452
1967-10-01,5.24285143266383
1967-11-01,5.24786851537452
1967-12-01,5.24786851537452
1968-01-01,5.25790268079588
1968-02-01,5.25790268079588
1968-03-01,5.26291976350656
1968-04-01,5.27295392892793
1968-05-01,5.27797101163861
1968-06-01,5.27295392892793
1968-07-01,5.26291976350656
1968-08-01,5.26291976350656
1968-09-01,5.26793684621725
1968-10-01,5.27295392892793
1968-11-01,5.2829880943493
1968-12-01,5.29803934248135
1969-01-01,5.3130905906134
1969-02-01,5.32312475603476
1969-03-01,5.34319308687749
1969-04-01,5.36326141772022
1969-05-01,5.37831266585228
1969-06-01,5.39838099669501
1969-07-01,5.42848349295911
1969-08-01,5.44353474109116
1969-09-01,5.45356890651252
1969-10-01,5.46862015464457
1969-11-01,5.49872265090867
1969-12-01,5.5187909817514
1970-01-01,5.54387639530482
1970-02-01,5.58903013970096
1970-03-01,5.6090984705437
1970-04-01,5.63418388409711
1970-05-01,5.65926929765053
1970-06-01,5.6693034630719
1970-07-01,5.67933762849326
1970-08-01,5.68937179391463
1970-09-01,5.72449137288941
1970-10-01,5.74957678644282
1970-11-01,5.79473053083897
1970-12-01,5.8147988616817
1971-01-01,5.83310912312457
1971-02-01,5.85582814599944
1971-03-01,5.87854716887432
1971-04-01,5.89558643603048
1971-05-01,5.92966497034279
1971-06-01,5.93534472606151
1971-07-01,5.95238399321767
1971-08-01,5.96374350465511
1971-09-01,6.00350179468614
1971-10-01,6.03190057327974
1971-11-01,6.06029935187333
1971-12-01,6.08301837474821
1972-01-01,6.10573739762309
1972-02-01,6.1398159319354
1972-03-01,6.15685519909156
1972-04-01,6.168214710529
1972-05-01,6.22501226771619
1972-06-01,6.25909080202851
1972-07-01,6.28180982490338
1972-08-01,6.32156811493441
1972-09-01,6.38404542784032
1972-10-01,6.45220249646496
1972-11-01,6.50332029793343
1972-12-01,6.53171907652702
1973-01-01,6.59987614515165
1973-02-01,6.673712969495
1973-03-01,6.74754979383835
1973-04-01,6.81570686246298
1973-05-01,6.91794246539993
1973-06-01,6.98041977830584
1973-07-01,7.02017806833687
1973-08-01,7.06561611408662
1973-09-01,7.10537440411766
1973-10-01,7.16217196130485
1973-11-01,7.24736829708564
1973-12-01,7.34960390002258
1974-01-01,7.46887877011568
1974-02-01,7.62791193023982
1974-03-01,7.82670338039499
1974-04-01,7.92325922761322
1974-05-01,8.0368543419876
1974-06-01,8.15044945636198
1974-07-01,8.31516237220484
1974-08-01,8.49691455520385
1974-09-01,8.74114405110877
1974-10-01,8.90585696695163
1974-11-01,9.0762496385132
1974-12-01,9.15008646285655
1975-01-01,9.26936133294965
1975-02-01,9.40567547019891
1975-03-01,9.41703498163635
1975-04-01,9.54198960744817
1975-05-01,9.62150618751024
