Date,Open,High,Low,Close,Adj Close,Volume
2004-12-12,1312.604980,1317.816040,1288.237061,1290.489990,1290.489990,44600
2004-12-19,1286.066040,1308.588989,1271.030029,1285.036011,1285.036011,44000
2004-12-26,1285.410034,1292.312988,1264.151978,1266.495972,1266.495972,41000
2005-01-02,1266.500000,1266.500000,1234.235962,1244.745972,1244.745972,33800
2005-01-09,1243.576050,1268.855957,1236.088989,1245.619995,1245.619995,40400
2005-01-16,1235.573975,1237.909058,1189.211060,1234.475952,1234.475952,57000
2005-01-23,1258.024048,1265.948975,1208.857056,1213.672974,1213.672974,57000
2005-01-30,1210.755005,1274.114990,1187.260010,1269.004028,1269.004028,74800
2005-02-06,1269.000000,1269.000000,1269.000000,1269.000000,1269.000000,0
2005-02-13,1269.000000,1291.464966,1258.561035,1258.968994,1258.968994,36200
2005-02-20,1259.527954,1328.532959,1259.509033,1312.444946,1312.444946,103600
2005-02-27,1311.438965,1316.723022,1276.880005,1287.713989,1287.713989,74000
2005-03-06,1288.407959,1326.076050,1278.152954,1289.941040,1289.941040,82200
2005-03-13,1288.984985,1304.112061,1223.614990,1227.402954,1227.402954,73000
2005-03-20,1226.142944,1232.817017,1187.581055,1205.634033,1205.634033,59000
2005-03-27,1204.849976,1237.800049,1162.031006,1223.566040,1223.566040,59600
2005-04-03,1212.118042,1249.203003,1183.906006,1248.520996,1248.520996,84200
2005-04-10,1248.150024,1254.318970,1213.203003,1216.962036,1216.962036,81800
2005-04-17,1212.391968,1212.391968,1163.401978,1169.187012,1169.187012,60600
2005-04-24,1166.342041,1172.709961,1135.733032,1159.145996,1159.145996,72800
2005-05-01,1159.150024,1159.150024,1159.150024,1159.150024,1159.150024,0
2005-05-08,1160.619995,1165.390015,1093.281006,1107.626953,1107.626953,60800
2005-05-15,1105.396973,1108.843994,1082.136963,1099.269043,1099.269043,52400
2005-05-22,1095.307983,1095.307983,1050.055054,1051.946045,1051.946045,50000
2005-05-29,1049.720947,1070.501953,1000.521973,1013.637024,1013.637024,49200
2005-06-05,1010.380981,1146.416992,998.228027,1108.286011,1108.286011,136000
2005-06-12,1105.961060,1119.676025,1064.026978,1085.609985,1085.609985,84000
2005-06-19,1087.848999,1115.862061,1073.410034,1101.881958,1101.881958,71800
2005-06-26,1108.464966,1129.958984,1053.630981,1055.593994,1055.593994,76000
2005-07-03,1050.241943,1050.241943,1015.398987,1017.982971,1017.982971,50800
2005-07-10,1026.790039,1049.880981,1004.080994,1026.114990,1026.114990,68000
2005-07-17,1023.380005,1054.635010,1004.656982,1046.321045,1046.321045,68000
2005-07-24,1045.269043,1097.634033,1040.592041,1083.032959,1083.032959,105800
2005-07-31,1082.796021,1129.067993,1081.118042,1128.743042,1128.743042,111600
2005-08-07,1131.802979,1192.048950,1130.584961,1167.915039,1167.915039,166200
2005-08-14,1167.032959,1201.755005,1132.864990,1150.183960,1150.183960,176800
2005-08-21,1148.972046,1174.536987,1139.239014,1171.859985,1171.859985,116800
2005-08-28,1171.999023,1188.912964,1140.098999,1188.848022,1188.848022,127400
2005-09-04,1189.064941,1204.456055,1168.581055,1189.625000,1189.625000,141800
